,p1,p3,p4,p6,p13,p16,p19,p21,p23,p25,s18,s19,s20,s22,s23,s25,s27,s29,sA,sB,sC,sD,sE,sF,sG,w22,w23,w25,w27,w29,wA,wB,wC,wD
Parvocalanus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paracalanidae sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0926,0,0,0
Xanthocalanus agilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xanthocalanus multispinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xanthocalanus pulcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0926,0,0,0
Xanthocalanus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xanthocalanus copepodid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calanopia elliptica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calanopia minor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.32,21.01,0,15.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2574,0.4667
Lobidocera copepodid,0,0,0,0,0,0,0,0,0,9.6,0,0,0,0,0,0,0,0,0,0,38.7,13.54,0,0,0,0,0,0,0,0,0,0,0,0
Pontella copepodid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pontellopsis tenuicauda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Racovitzanus sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Racovitzanus sp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Racovitzanus sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scaphoclanus echinatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scolecithricella abyssalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scolecithricella longispinosa,0,0,0,0,0,0,0,0,0,0,29.46,19,45.24,161.72,0,63.32,0,0,0,0,0,0,0,0,0,21.486,10.4712,1.6134,3.2242,0,0.1852,2.982,0.5148,0.4667
Scolecithricella sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scolecithrix danae,0,0,0,0,0,0,0,0,13.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scolecithrix nicobarica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Temora discaudata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Temora stylifera,0,0,0,0,12.46,0,11.59,0,13.51,48,0,0,0,0,0,0,0,0,0,0,0,0,54.92,0,0,0,0,0,0,0,0,0,0,0
Temora turbinata,0,0,0,0,12.46,0,11.59,14.97,0,0,206.22,19,30.16,80.86,147.57,696.52,105.05,675.22,15.88,0,851.4,94.78,439.36,475.08,101.6,0,0,0.8067,1.8424,4.174,0.6482,0.497,0.2574,0.4667
Temoropia mayumbaensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tharybidae sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tortanus forcipatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oithona atlantica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0926,0.497,0,0
Oithona attenuata,0,0,0,0,0,0,0,0,0,0,0,19,15.08,323.44,49.19,63.32,126.06,723.45,63.52,28.95,154.8,81.24,54.92,158.36,139.7,0,0,0,0,0,0,0,0,0
Oithona brevicornis,0,0,0,0,0,0,0,0,0,0,0,0,120.64,525.59,49.19,0,21.01,48.23,15.88,0,0,13.54,0,0,0,0,0,0,0,0,0,0,0,0
Oithona decipiens,0,0,0,0,0,0,0,0,0,9.6,0,0,0,40.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oithona fallax,0,0,0,0,0,0,0,0,0,9.6,0,19,15.08,0,49.19,0,0,0,79.4,0,0,13.54,54.92,0,12.7,0,5.2356,0.8067,0.4606,0,0,0.497,0,2.3335
Oithona fragilis,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oithona longispina,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oithona plumifera,0,0,0,0,0,0,81.13,0,175.63,28.8,117.84,133,0,0,147.57,126.64,21.01,0,31.76,260.55,77.4,27.08,219.68,79.18,0,0,2.6178,0.8067,0,0,0,3.479,0.5148,1.4001
Oithona rigida,0,0,0,0,0,0,0,0,0,0,29.46,0,0,0,0,0,0,96.46,0,0,0,13.54,54.92,0,12.7,0,0,0,0,0.4174,0,0,0,0
Oithona setigera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oithona similis,22.38,219.07,137.52,153.9,186.9,21.23,23.18,374.25,0,19.2,88.38,57,0,0,344.33,63.32,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oithona simplex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,0,0,0,0,0,0,0,0,0
Oithona tenuis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oithona sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paroithona sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clytemnestra rostrata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clytemnestra scutellata,0,0,0,0,0,0,0,0,0,0,0,0,15.08,40.43,49.19,0,0,0,0,0,0,0,0,0,0,7.162,2.6178,0,0,0,0,0,0,0.4667
Microsetella norvegica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsetella rosea,0,0,0,0,0,0,0,0,0,0,0,19,15.08,0,49.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euterpina acutifrons,0,0,0,0,12.46,0,34.77,0,13.51,19.2,58.92,114,331.76,727.74,541.09,633.2,0,96.46,0,28.95,0,0,109.84,237.54,38.1,0,0,0,0,0,0,0,0,0
Macrosetella gracilis,0,0,0,0,12.46,0,0,0,0,0,0,0,0,0,0,0,0,48.23,0,28.95,0,0,0,0,0,0,0,0,0,0,0.0926,0.497,0,0.4667
Mormonilla minor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corycaeus (Agetus)  flaccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corycaeus (Agetus) typicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2574,0
Corycaeus ( Corycaeus) crassiusculus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corycaeus ( Corycaeus) speciosus,0,0,0,0,0,0,0,0,13.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corycaeus (Ditrichocorycaeus)  affinis,604.26,196.01,481.32,34.2,24.92,0,11.59,254.49,0,0,0,0,15.08,0,0,63.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corycaeus (Ditrichocorycaeus) andrewsi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.01,0,0,0,38.7,0,0,79.18,0,0,0,0,0.4606,0.4174,0,0,0,0
Corycaeus (Ditrichocorycaeus) asiaticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corycaeus (Ditrichocorycaeus) dahli,0,0,0,0,12.46,0,0,0,0,0,0,19,0,0,0,189.96,0,0,0,28.95,0,13.54,0,1187.7,0,0,0,0,0.4606,0,0.0926,0,0,0
Corycaeus (Ditrichocorycaeus) erythraeus,0,0,0,0,0,0,11.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4606,0.8348,0,0,0,0
Corycaeus (Ditrichocorycaeus) lubbocki,0,0,0,0,0,0,0,0,0,0,117.84,76,135.72,363.87,442.71,0,0,0,0,0,0,13.54,0,0,0,10.743,0,0.8067,0,0,0,0,0,0
Corycaeus (Ditrichocorycaeus) subtilis,0,0,0,0,0,0,0,0,13.51,0,58.92,0,0,0,0,63.32,0,0,0,57.9,0,13.54,0,79.18,0,0,0,0,0,0,0,0,0,0
Corycaeus (Onychocorycaeus) agilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corycaeus (Onychocorycaeus) catus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.88,28.95,38.7,13.54,54.92,0,12.7,0,0,0,0,0,0,0.497,0,0
Corycaeus (Onychocorycaeus) giesbrechti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.57,63.32,0,48.23,47.64,28.95,77.4,13.54,54.92,79.18,0,0,0,0,0,0.8348,0,0,0,0
Corycaeus (Onychocorycaeus) pacificus,0,0,0,0,12.46,0,0,0,0,0,0,0,0,0,0,0,21.01,0,0,28.95,0,0,0,79.18,0,0,0,0,0,0,0,0,0,0
Corycaeus (Onychocorycaeus) pumilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,0,0,0,0,0,0,0,0,0
Corycaeus ( Urochocorycaeus) furcifer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corycaeus ( Urochocorycaeus) lautus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corycaeus ( Urochocorycaeus) longistylis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0,0
Farranula carinata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farranula gibbula,0,0,0,0,0,0,0,0,27.02,0,0,0,0,0,0,0,42.02,0,15.88,57.9,38.7,13.54,54.92,0,12.7,0,0,0,0,0,0,0,0,0
Farranula rostrata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.23,0,28.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corycaeidae sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corycaeidae copepodid,0,0,0,0,112.14,42.46,23.18,0,27.02,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lubbockia aculeata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lubbockia squillimana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0,0
Oncaea conifera,0,0,0,0,0,0,11.59,0,0,0,58.92,38,0,40.43,196.76,63.32,21.01,0,63.52,347.4,154.8,54.16,109.84,554.26,0,7.162,0,0,0.4606,0,0,0.497,0.2574,0.4667
Oncaea media,0,0,0,0,0,0,0,0,13.51,0,0,0,0,0,49.19,189.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.2574,0.4667
Oncaea mediterranea,0,0,0,0,12.46,0,11.59,0,13.51,0,0,0,0,0,0,0,0,0,0,28.95,0,13.54,0,0,0,0,0,0,0,0,0,0.994,0,0.9334
Oncaea minuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.88,28.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncaea similis,0,0,0,0,0,0,11.59,0,0,0,0,0,0,0,0,0,0,0,15.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncaea venusta,0,0,0,17.1,74.76,63.69,69.54,0,81.06,28.8,294.6,114,45.24,202.15,737.85,253.28,147.07,48.23,222.32,607.95,116.1,148.94,823.8,1346.06,25.4,0,0,0.8067,1.8424,0.8348,0.1852,3.976,1.287,2.3335
Oncaea sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncaea sp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copilia mirabilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corina granulosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sapphirina auronitens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sapphirina gemma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sapphirina iris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sapphirina metallina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sapphirina ovatolanceolata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sapphirina stellata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pontoeciella abyssicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ratania sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
